COORDINATES;ADDRESS;ID
57.871358,39.530662;Ярославская область, Тутаев, Борисоглебская сторона;kUuLrLbuRG3OKCrpmPJ9I
57.870353,39.518595;Ярославская область, Тутаев, Парк отдыха;iuPEDPk1i1zYP7pXjLekC
57.867264,39.523225;Ярославская область, Тутаев, Борисоглебская сторона;vkaTzNXo7gsfPY3vaYtz1
57.872163,39.515752;Ярославская область, Тутаев, Борисоглебская сторона;Eqv8zSC47f-3m4W5AwP6R
57.867413,39.518735;Ярославская область, Тутаев, Борисоглебская сторона;hiE82T076H0d3tTem5Z8S
57.866655,39.51929;Ярославская область, Тутаев, Борисоглебская сторона;jra0vRFoJpDmKp3ohUk3C
57.862607,39.520926;Ярославская область, Тутаев, Борисоглебская сторона;oqt0INZWCD3jdrshh7LDX
57.865387,39.520365;Ярославская область, Тутаев, Борисоглебская сторона;g44HT_kEqOfHgnnchPRpO
57.865463,39.517861;Ярославская область, Тутаев, Борисоглебская сторона;ewYgpVc0egfI2Jn3LaJro
57.884044,39.539114;Ярославская область, Тутаев, Романовская сторона;nT5SKebu423QC5AgyZase
57.862524,39.522093;Ярославская область, Тутаев, Борисоглебская сторона;G16XTVoK7CchhfLcCWCxb
57.866905,39.519759;Ярославская область, Тутаев, Борисоглебская сторона;YbyPTHD6HYicuw-CdXOgT
57.863418,39.513918;Ярославская область, Тутаев, проспект 50-летия Победы;bjeV3-7wBRx2NYmxM4XzH
57.863641,39.519613;Ярославская область, Тутаев, Борисоглебская сторона;a8uohpI-sbAmkIu5RCrKY
57.859854,39.512679;ул. Моторостроителей, 83Б;obEVlMD8pWmalCfZmjlxH
57.860808,39.520032;Ярославская область, Тутаев, Борисоглебская сторона;DAvdaxwR4d9YLyZ7b_X-y
57.863606,39.520629;Ярославская область, Тутаев, Борисоглебская сторона;b6Lx78vfltXRcW2LKZPSA
57.865233,39.51608;Ярославская область, Тутаев, Борисоглебская сторона;fu8QH3AeXM8W6MlZ48Ipw
57.86835,39.514167;Ярославская область, Тутаев, Борисоглебская сторона;HV5dtKguaRl-ZKz-phLsA
57.889826,39.545376;Ярославская область, Тутаев, Романовская сторона;iFYCKF2F8XZE1Mgxtc4SL
57.863383,39.519239;Ярославская область, Тутаев, Борисоглебская сторона;F02GNw3E4EFML83-oa9Pt
57.863967,39.516861;Ярославская область, Тутаев, Борисоглебская сторона;yPpSte6VhgvkeGlqe-ht0
57.861679,39.516688;Ярославская область, Тутаев, Борисоглебская сторона;L3mv9WpROzChLRH-lY-yx
57.855955,39.510492;Ярославская область, Тутаев, Борисоглебская сторона;thvA9c-cKAmuEVpHSmeJ6
57.870622,39.510951;Ярославская область, Тутаев, Борисоглебская сторона;Ex8nAR9mI0zX5U9Rbx0OF
57.871134,39.514422;Ярославская область, Тутаев, Борисоглебская сторона;NaJnOMR661zJoU8hZHjfW
57.865149,39.504703;Комсомольская ул., 88А;zksVUvberLtnBWJ0P14lP
57.881657,39.540999;Ярославская область, Тутаев, Городской парк;_mE-6I_hmQBkdapDR7fry
57.861691,39.504452;Ярославская область, Тутаев, Борисоглебская сторона;gDnTMb-_xvoDB2myZLdrR
57.862173,39.515129;Ярославская область, Тутаев, Борисоглебская сторона;Qu-DbeOddDVQUQqvbm1N9
57.866488,39.521588;Ярославская область, Тутаев, Борисоглебская сторона;HMTuRgSPpTaHS06t_jKHe
57.863944,39.507463;Ярославская область, Тутаев, Борисоглебская сторона;WwO-ZwaROyBOkiPvcCp58
57.858804,39.516106;Ярославская область, Тутаев, Борисоглебская сторона;mEUHV0MROC5VZzL2a5SNZ
57.858682,39.507849;Ярославская область, Тутаев, Борисоглебская сторона;RQ3LEbBjq3OM3mcHGAmf9
57.859437,39.511755;ул. Моторостроителей, 93А;ahTIE7yY0jFQ2d2_n_6eB
57.854161,39.508054;Ярославская область, Тутаев, Борисоглебская сторона;meSkIV-Yu8YEH08zk-Whz
57.85985,39.514091;Ярославская область, Тутаев, Борисоглебская сторона;mQqUkZdF3r-a_gaqWxSBf
57.860844,39.515788;Ярославская область, Тутаев, Борисоглебская сторона;8icNpv56U7lBqQSSjSouu
57.860797,39.512319;Ярославская область, Тутаев, Борисоглебская сторона;p0PpYb1qAf72vPfDEBAl1
57.862066,39.512426;Ярославская область, Тутаев, Борисоглебская сторона;EDIhngqW1b-O1-RB-C9St
57.859867,39.517542;Ярославская область, Тутаев, Борисоглебская сторона;Sa-9pJ66pWwrT2KcAuIPx
57.86852,39.510586;Ярославская область, Тутаев, Борисоглебская сторона;YCRKODfMbdrhtoQ474TLh
